ID,Artist,Song
4080,Black Eyed Peas,Gone going
3269,Black Jack,Corrine Corrina
1182,Black Sabbath,Iron man black
1710,Black Sabbath,War pigs
2997,Black Sabbath,Changes
3139,Black Sabbath,The wizard
3153,Black Sabbath,Wicked world
3709,Blake Shelton,Austin
5764,Blink 182,Adams song
5766,Blink 182,Feeling this
5768,Blink 182,Whats my age again
42,Blondie,Heart of glass
59,Blondie,Dreamin'
2323,Blood sweat and tears,And when I die
2329,Blood sweat and tears,Hi-de-ho
2981,Bloodhound Gang,Bad touch
4394,Bloodhound Gang,Ballad of Chasey Lain
4395,Bloodhound Gang,Fire water burn
98,Blue,Best in me
1631,Blue,Breathe easy
3996,Blue,All rise
177,Blue & Elton John,Sorry seems to be the hardest word
688,Blue Lagoon,Break my stride
706,Blue Lagoon,Now that we found love
3944,Blue October,Hate me
4396,Blue October,Calling you
3899,Blue Oyster Cult,Don't fear the reaper
4091,Blue Oyster Cult,Burnin' for you
1298,Bluebells,Young at heart
1431,Blues Brothers,Minnie the moocher
20,Blur,Girls and boys
210,Blur,Out of time
2983,Blur,Beetlebum
2998,Blur,Charmless man
2999,Blur,Coffee and tv
3084,Blur,Music is my radar
3140,Blur,There's no other way
3961,Bob & Bruno Mars,Nothing on you
831,Bob Dylan,Forever young
832,Bob Dylan,The times they are a changing
833,Bob Dylan,Knocking on heavens door
2961,Bob Dylan,A hard rain's a gonna fall
2966,Bob Dylan,All along the watchtower
3050,Bob Dylan,I'll be your baby tonight
3057,Bob Dylan,It's all over now baby blue
3060,Bob Dylan,Just like a woman
3063,Bob Dylan,Lay lady lay
3066,Bob Dylan,Like a rolling stone
3076,Bob Dylan,Maggie's farm
3134,Bob Dylan,Tangled up in blue
3404,Bob Dylan,Mr Tambourine man
2020,Bob Marley,One love
2021,Bob Marley,I shot the sheriff
2025,Bob Marley,Jammin'
2033,Bob Marley,Natural mystic
2034,Bob Marley,Iron lion zion
2076,Bob Marley,Lively up yourself
2259,Bob Seger,Old time rock and roll
3475,Bob Seger,Beautiful loser
3477,Bob Seger,Sunspot baby
3480,Bob Seger,Fire down below
3570,Bob Seger & The Silver Bullet Band,Hollywood nights
3905,Bob Sinclair,Sound of freedom
3917,Bob Sinclair,Together
2336,Bobby Boris Picket,Monster mash
4005,Bobby McFerrin,"Don't worry, be happy"
1793,Bobby Vee,Venus in blue
770,Bobbysocks,La det swinge
707,Bodies Without Organs,Open door
825,Bodies Without Organs,Sunshine in the rain
27,Bon Jovi,This ain't a love song
53,Bon Jovi,Something for the pain
1413,Bon Jovi,It's my life
1491,Bon Jovi,Wanted dead or alive
1938,Bon Jovi,You give love a bad name
1939,Bon Jovi,Living in the sun
1942,Bon Jovi,Lay your hands on me
1944,Bon Jovi,Born to be my baby
1945,Bon Jovi,In and out of love
1946,Bon Jovi,Please come home for christmas
1947,Bon Jovi,Bad medicine
1948,Bon Jovi,Livin' on a prayer
4399,Bone Thugs 'N Harmony,1st of tha month
1212,Boney M,Rivers of Babylon
1275,Boney M,Daddy cool
3372,Boney M,Mary's boy child (Oh my Lord)
3373,Boney M,Feliz navidad
1387,Bonnie Tyler,Holding out for a hero
722,Bosson,You
2962,Boston,A man I'll never be
3805,Box Tops,The letter
5081,Boy George,Everything I Own
3955,Boys Like Girls & Taylor Swift,Two is better than one
1366,Boyz II Men,End of the road
441,Boyzone,No matter what
519,Boyzone,Coming home now
593,Boyzone,Picture of you
3571,Boz Scaggs,Lido shuffle
11,Brand New Heavies,Midnight at the oasis
3783,Brand New Heavies,You've got a friend
1585,Brandsta City Sl�ckers,Kom och ta mig l�ngt h�rifr�n
3870,Brandy,Full moon
3926,Brandy,Right here (departed)
5632,Brandy,Have you ever
5633,Brandy,I wanna be down
4035,Brandy & Mase,Top of the world
1600,Bread,Baby I'ma want you
1406,Brenda Lee,I'm sorry
4401,Brett Dennen,Comeback kid (That's my dog)
3590,Brett Dennen feat. Femi Kuti,Make you crazy
96,Brian McKnight,Back at one
179,Britney Spears,I love rock 'n roll
500,Britney Spears,From the bottom of my broken heart
1825,Britney Spears,Soda pop
1827,Britney Spears,Don't go knocking
1828,Britney Spears,What you see is what you get
1829,Britney Spears,One kiss from you
1832,Britney Spears,When your eyes say it
3651,Britney Spears,Sometimes
4402,Britney Spears,I'm not a girl not yet a woman
4407,Britney Spears,Slave for you
4408,Britney Spears,Someday I will understand
4409,Britney Spears,The beat goes on
4412,Britney Spears,You got it all
4418,Britney Spears,If you seek Amy
4419,Britney Spears,Hold it against me
4420,Britney Spears,Do something
4422,Britney Spears,Let me be
2100,Broadman Hymnal,Face to face
658,Brolle Jr,Playing with fire
1326,Brotherhood of man,Save your kisses for me
3791,Bruce Channel,Keep on
3982,Bruce Hornsby,Walk in the sun
2015,Bruce Springsteen,Born to run
2016,Bruce Springsteen,Born in the USA
2225,Bruce Springsteen,Tougher than the rest
2590,Bruce Springsteen,Tenth avenue freezeout
2594,Bruce Springsteen,Thunder road
2980,Bruce Springsteen,Backstreets
2982,Bruce Springsteen,Badlands
2985,Bruce Springsteen,Better days
2992,Bruce Springsteen,Brilliant disguise
3018,Bruce Springsteen,Fire
3027,Bruce Springsteen,Glory days
3041,Bruce Springsteen,Human touch
3087,Bruce Springsteen,My hometown
3093,Bruce Springsteen,No surrender
3099,Bruce Springsteen,Paradise
3146,Bruce Springsteen,Two hearts
3988,Bruno Mars,Count on me
3989,Bruno Mars,It will rain
4095,Bruno Mars,Just the way you are (Amazing)
5726,Bruno Mars ft Cardi B,Finesse
168,Bryan Adams,Here I am
305,Bryan Adams,Please forgive me
556,Bryan Adams,Let's make a night to remember
557,Bryan Adams,I finally found someone
1151,Bryan Adams,Run to you
1167,Bryan Adams,Can't stop this thing we started
1302,Bucks Fizz,Making your mind up
1779,Buddy Holly,Ready teddy
4426,Burt Bacharach & Elvis Costello,God give me strength
2965,Busted,Air hostess
3000,Busted,Crashed the wedding
3123,Busted,Sleeping with the light on
3142,Busted,Thunderbirds are go
3150,Busted,What I go to school for
3638,Caberet,The money song
479,Cagnet,Close to you
486,Cagnet,Hear me cry
434,Cagnet feat. Natalie,What will I do
1079,Cajsa Stina �kerstr�m,Av l�ngtan till dig
5723,Calvin Harris,Slide
5339,Calvin Harris & Disciples,How Deep Is Your Love
5340,Calvin Harris Feat. Ellie Goulding,I Need Your Love
5341,Calvin Harris Feat. John Newman,Blame
43,Candi Staton,Young hearts run free
921,Caracola,Smiling in love
5770,Cardi B,WAP
5024,Cardigans,Been it
4428,Carly Rae Jepsen,Call me maybe
4430,Carly Rae Jepsen,This kiss
3444,Carly Simon,Let the river run
3445,Carly Simon,You belong to me
3447,Carly Simon,Anticipation
3448,Carly Simon,Coming around again
3449,Carly Simon,That's the way I always heard it should be
975,Carola,Fr�mling
1002,Carola,F�ngad av en stormvind
